total_units,units_2,units_3_4,units_5_9,units_10_19,units_20plus,median_rent,median_value,renter_occupied,total_occupied,population,median_hh_income,GEOID,affordability_stress_index,rent_burdened,mf_share,log_rent,log_income,mean_max_height_ft,mean_max_far,mean_max_du_per_acre
3315,0,0,14,11,14,1536.0,591200.0,354,2367,5285,91801.0,25001011100,0.2007821265563556,0.0,0.011764705882352941,7.336936913707618,11.427378469795439,,,
3671,41,149,187,21,38,1557.0,539700.0,387,1943,3935,68977.0,25001011200,0.27087289966220623,0.0,0.1187687278670662,7.350516171833998,11.14152839467816,,,
2615,131,65,34,0,15,1478.0,702200.0,197,1132,2439,108889.0,25001011300,0.16288146644748322,0.0,0.09369024856596558,7.298445101508147,11.598084293718179,,,
2538,71,85,109,22,0,769.0,612100.0,265,1657,3575,85679.0,25001011400,0.10770433828592771,0.0,0.11308116627265563,6.645090969505644,11.35836303371832,,,
2689,75,22,25,43,26,1750.0,401400.0,387,1648,4054,87574.0,25001011500,0.2397972000822162,0.0,0.07103012272220156,7.4673710669175595,11.380239429216592,,,
4864,128,139,184,310,196,1019.0,415600.0,422,1478,2649,51203.0,25001011600,0.23881413198445403,0.0,0.19675164473684212,6.926577033222725,10.843553403061053,,,
2616,40,40,69,87,41,1672.0,562000.0,257,1079,2025,79219.0,25001011700,0.25327257349878185,0.0,0.1058868501529052,7.421775793644647,11.279971448021255,,,
1724,0,17,36,19,20,1663.0,565600.0,124,1270,2333,103873.0,25001011801,0.1921192225121061,0.0,0.05336426914153132,7.416378479192928,11.550924278061439,,,
2329,43,0,0,0,0,1724.0,458600.0,108,1935,4674,104620.0,25001011802,0.19774421716688967,0.0,0.0184628595963933,7.452402451223638,11.558090016924602,,,
3588,114,0,244,58,51,1787.0,431400.0,606,2700,6050,76537.0,25001012001,0.28017821445836655,0.0,0.13015607580824973,7.488293515159428,11.245529563019485,,,
3106,81,119,81,81,88,1178.0,538000.0,424,1262,2714,68895.0,25001012002,0.20518179838885262,0.0,0.1448808757244044,7.071573364211532,11.140338885428003,,,
3160,48,57,216,0,0,1538.0,353200.0,262,2270,6006,79712.0,25001012101,0.23153352067442792,0.0,0.10158227848101266,7.338238150065589,11.286175418061907,,,
3415,165,16,67,47,167,1550.0,537000.0,554,1600,3240,55321.0,25001012102,0.3362195188084091,1.0,0.13528550512445095,7.346010209913293,10.920907862260288,,,
2549,49,41,0,4,0,2176.0,631700.0,103,1800,4832,120750.0,25001012200,0.21624844720496894,0.0,0.036877206747744216,7.685243607975833,11.701477571514818,,,
2886,138,204,91,191,178,1565.0,445100.0,775,1550,3458,57578.0,25001012502,0.3261662440515474,1.0,0.2778932778932779,7.355641102974253,10.960895829280181,,,
1501,0,83,153,0,12,1850.0,440000.0,369,1256,3211,68143.0,25001012601,0.3257854805335838,1.0,0.16522318454363757,7.52294091807237,11.129363717249026,,,
